gene_id	GRCP	GLCP	IS_POSITIVE
ENSG00000197603	0.00835	0.008685	0
ENSG00000248927	0.04661	0.1328	0
ENSG00000131730	0.07031	0.07959	0
ENSG00000253520	0.008606	0.009971	0
ENSG00000259663	0.5164	0.5758	1
ENSG00000081189	0.02133	0.03005	0
ENSG00000240184	0.02367	0.02507	0
ENSG00000245812	0.1386	0.1386	0
ENSG00000039123	0.4014	0.4381	1
ENSG00000113712	0.04316	0.04473	0
ENSG00000243056	0.05831	0.05917	0
ENSG00000037474	0.6972	0.6972	1
ENSG00000188242	0.002162	0.002425	0
ENSG00000272123	0.03093	0.03261	0
ENSG00000224032	0.03435	0.04206	0
ENSG00000164406	0.07719	0.07719	0
ENSG00000152503	0.02501	0.02557	0
ENSG00000249295	0.0008434	0.0008434	0
ENSG00000233937	0.3094	0.3098	0
ENSG00000251141	0.02048	0.02159	0
ENSG00000118322	0.1342	0.1501	0
ENSG00000152380	0.03589	0.03589	0
ENSG00000224431	0.09158	0.1025	0
ENSG00000134061	0.01719	0.02461	0
ENSG00000279204	0.002988	0.002988	0
ENSG00000070193	0.02471	0.02854	0
ENSG00000250101	0.08156	0.09199	0
ENSG00000122203	0.09604	0.09849	0
ENSG00000081791	0.4299	0.4827	1
ENSG00000251513	0.04433	0.04433	0
ENSG00000132846	0.5969	0.5969	1
ENSG00000112936	0.02658	0.03103	0
ENSG00000164187	0.02689	0.03364	1
ENSG00000113273	0.05159	0.05346	0
ENSG00000254122	0.02213	0.02213	0
ENSG00000113648	0.7134	0.7134	1
ENSG00000169271	0.09278	0.09401	0
ENSG00000145934	0.1432	0.1432	1
ENSG00000250159	0.0368	0.03721	0
ENSG00000234511	0.08442	0.08442	0
ENSG00000249249	0.07445	0.07445	0
ENSG00000279232	0.01634	0.01816	0
ENSG00000145911	0.1039	0.1039	0
ENSG00000214357	0.04681	0.0577	0
ENSG00000251189	0.02418	0.02418	0
ENSG00000113758	0.1857	0.2018	0
ENSG00000113369	0.04019	0.06577	0
ENSG00000221990	0.002588	0.002789	0
ENSG00000205302	0.08764	0.08764	0
ENSG00000197479	0.05129	0.05129	0
ENSG00000248794	0.03104	0.03107	0
ENSG00000170271	0.05115	0.05124	0
ENSG00000249669	0.0007018	0.0007049	0
ENSG00000248968	0.0476	0.04776	0
ENSG00000249655	0.02656	0.02657	0
ENSG00000113318	0.0704	0.0704	0
ENSG00000171992	0.1169	0.1169	0
ENSG00000271815	0.02479	0.02681	0
ENSG00000248791	0.1068	0.107	0
ENSG00000177879	0.05769	0.05773	0
ENSG00000248469	0.002066	0.003207	0
ENSG00000279375	0.3752	0.3756	0
ENSG00000155324	0.07294	0.07397	0
ENSG00000170584	0.00352	0.003897	0
ENSG00000255833	0.000105	0.000105	0
ENSG00000245275	0.03067	0.03067	0
ENSG00000177738	0.07982	0.08146	0
ENSG00000158402	0.03926	0.04087	0
ENSG00000197208	0.07248	0.08106	0
ENSG00000112941	0.02567	0.02587	0
ENSG00000180104	0.9556	0.9558	1
ENSG00000164283	0.05723	0.05726	1
ENSG00000152413	0.1142	0.1148	0
ENSG00000198108	0.02671	0.02694	0
ENSG00000275765	0.01339	0.01553	0
ENSG00000275506	0.08548	0.08941	0
ENSG00000086589	0.9747	0.9757	1
ENSG00000168685	0.07076	0.07561	0
ENSG00000145757	0.1322	0.1322	1
ENSG00000152611	0.002562	0.002837	0
